Gap diagnostic (all observations): Black-White median gap in net wealth and gross assets
All medians are weighted medians from the SCF race-restricted sample.

year | net diff | net ratio | gross diff | gross ratio
1989 | 156503.10 | 16.7860 | 208424.87 | 13.7324
1992 | 123903.79 | 7.0404 | 178396.59 | 5.8920
1995 | 127505.92 | 7.0330 | 188839.59 | 6.1004
1998 | 146741.87 | 6.1923 | 215426.83 | 5.7260
2001 | 173432.90 | 6.3679 | 233983.75 | 4.1984
2004 | 189448.59 | 6.9103 | 279262.65 | 5.0764
2007 | 215394.22 | 8.1676 | 310169.39 | 5.1884
2010 | 155495.51 | 8.1604 | 262505.37 | 5.6091
2013 | 163966.35 | 10.8486 | 249818.94 | 6.1923
2016 | 189754.11 | 9.9708 | 268763.86 | 5.7485
2019 | 191268.87 | 7.8465 | 293858.54 | 5.8844
2022 | 240210.00 | 6.4469 | 313770.00 | 4.0336
