year,wealth_measure,median_white,median_black,gap_diff,gap_ratio
1989,net_wealth,189472.96101,53282.065332,136190.895678,3.5560363478666965
1989,gross_assets,229244.29926,61858.840885,167385.458375,3.7059262019826966
1992,net_wealth,165757.57576,47448.106061,118309.46969900001,3.493449781681477
1992,gross_assets,217660.41667,62987.878788,154672.537882,3.455592105309428
1995,net_wealth,169291.7824,49546.926139,119744.856261,3.41679687504862
1995,gross_assets,230509.33215,58120.866873,172388.465277,3.966033965971057
1998,net_wealth,200931.33333,52329.666667,148601.666663,3.8397212542672436
1998,gross_assets,266170.2,63871.366667,202298.83333300002,4.1672851841061425
2001,net_wealth,240479.11247,64518.377965,175960.734505,3.7272963154847965
2001,gross_assets,312045.29457,97547.635807,214497.65876300004,3.198901664694243
2004,net_wealth,247035.8061,59867.136804,187168.66929599998,4.1264008818189275
2004,gross_assets,353693.93178,86498.671454,267195.260326,4.089009990958005
2007,net_wealth,287346.36233,70433.852191,216912.51013899996,4.0796627387464826
2007,gross_assets,389233.60889,101529.4964,287704.11248999997,3.8336997886458537
2010,net_wealth,226311.86017,56816.978777,169494.88139300002,3.9831730768059246
2010,gross_assets,324648.93883,84815.730337,239833.208493,3.8276972625250765
2013,net_wealth,229619.08086,44549.156486,185069.924374,5.154285714302133
2013,gross_assets,301661.43106,67727.44619,233933.98487,4.45404999051242
2016,net_wealth,255924.46449,49026.493799,206897.970691,5.220125786258452
2016,gross_assets,326573.18377,57425.749718,269147.434052,5.686877147859616
2019,net_wealth,259117.16026,57960.264901,201156.89535900002,4.470599999889396
2019,gross_assets,355134.1351,61437.880795,293696.254305,5.780377358473308
2022,net_wealth,318890.0,89700.0,229190.0,3.555072463768116
2022,gross_assets,417400.0,106400.0,311000.0,3.922932330827068
