Gap diagnostic (positive-only): Black-White median gap in net wealth and gross assets
For each wealth measure, medians are computed using only observations with that measure positive.

year | net diff | net ratio | gross diff | gross ratio
1989 | 136190.90 | 3.5560 | 167385.46 | 3.7059
1992 | 118309.47 | 3.4934 | 154672.54 | 3.4556
1995 | 119744.86 | 3.4168 | 172388.47 | 3.9660
1998 | 148601.67 | 3.8397 | 202298.83 | 4.1673
2001 | 175960.73 | 3.7273 | 214497.66 | 3.1989
2004 | 187168.67 | 4.1264 | 267195.26 | 4.0890
2007 | 216912.51 | 4.0797 | 287704.11 | 3.8337
2010 | 169494.88 | 3.9832 | 239833.21 | 3.8277
2013 | 185069.92 | 5.1543 | 233933.98 | 4.4540
2016 | 206897.97 | 5.2201 | 269147.43 | 5.6869
2019 | 201156.90 | 4.4706 | 293696.25 | 5.7804
2022 | 229190.00 | 3.5551 | 311000.00 | 3.9229
