year,wealth_measure,mean_white,mean_black,median_white,median_black
1989,gross_assets,599882.8303009765,121385.55965128008,224794.52055,16369.652266
1992,gross_assets,534975.6577583326,129761.60380715005,214863.25758,36466.666667
1995,gross_assets,565312.8289752182,120664.86963592726,225864.30783,37024.714728
1998,gross_assets,712273.408698532,160856.83007674347,261010.16667,45583.333333
2001,gross_assets,919955.5477122843,172399.6263639606,307140.29074,73156.541699
2004,gross_assets,1021725.915272292,244826.8375697848,347770.22621,68507.576302
2007,gross_assets,1137318.165114798,288901.4190771001,384223.6756,74054.283846
2010,gross_assets,1036677.4255225696,207338.40189322594,319458.92634,56953.558052
2013,gross_assets,1018491.6622482364,191303.59762313255,297932.03025,48113.089005
2016,gross_assets,1280005.364114613,238867.75186233135,325363.2469,56599.391206
2019,gross_assets,1273731.0105879977,237358.06326550987,354021.29801,60162.754967
2022,gross_assets,1497557.4916279675,294459.3407295097,417200.0,103430.0
