Race-level means and medians: gross assets
year | mean white | mean black | median white | median black
1989 | 599882.83 | 121385.56 | 224794.52 | 16369.65
1992 | 534975.66 | 129761.60 | 214863.26 | 36466.67
1995 | 565312.83 | 120664.87 | 225864.31 | 37024.71
1998 | 712273.41 | 160856.83 | 261010.17 | 45583.33
2001 | 919955.55 | 172399.63 | 307140.29 | 73156.54
2004 | 1021725.92 | 244826.84 | 347770.23 | 68507.58
2007 | 1137318.17 | 288901.42 | 384223.68 | 74054.28
2010 | 1036677.43 | 207338.40 | 319458.93 | 56953.56
2013 | 1018491.66 | 191303.60 | 297932.03 | 48113.09
2016 | 1280005.36 | 238867.75 | 325363.25 | 56599.39
2019 | 1273731.01 | 237358.06 | 354021.30 | 60162.75
2022 | 1497557.49 | 294459.34 | 417200.00 | 103430.00
