year,wealth_measure,mean_white,mean_black,median_white,median_black
1989,net_wealth,533323.5292898372,95673.16335571988,166417.11275,9914.0147524
1992,net_wealth,462077.9042178027,99800.70929792346,144416.28788,20512.5
1995,net_wealth,488522.4545950763,85164.27333503027,148640.77842,21134.860681
1998,net_wealth,617773.7002597615,116840.14654613465,175003.53333,28261.666667
2001,net_wealth,818565.2407440683,119956.72867443645,205742.31064,32309.410865
2004,net_wealth,884538.4140773378,176496.1817487468,221502.59246,32054.003591
2007,net_wealth,991096.1405668518,192396.47442136655,245445.23218,30051.013734
2010,net_wealth,886270.0337470383,135591.8510398978,177211.61049,21716.104869
2013,net_wealth,886539.013065362,126043.29484070338,180615.00873,16648.656195
2016,net_wealth,1146827.6855470175,170274.339902896,210906.42616,21152.311161
2019,net_wealth,1136634.3786749553,164989.19125552278,219205.72185,27936.847682
2022,net_wealth,1361791.1277726095,211596.45965847874,284310.0,44100.0
