Race-level means and medians: net wealth
year | mean white | mean black | median white | median black
1989 | 533323.53 | 95673.16 | 166417.11 | 9914.01
1992 | 462077.90 | 99800.71 | 144416.29 | 20512.50
1995 | 488522.45 | 85164.27 | 148640.78 | 21134.86
1998 | 617773.70 | 116840.15 | 175003.53 | 28261.67
2001 | 818565.24 | 119956.73 | 205742.31 | 32309.41
2004 | 884538.41 | 176496.18 | 221502.59 | 32054.00
2007 | 991096.14 | 192396.47 | 245445.23 | 30051.01
2010 | 886270.03 | 135591.85 | 177211.61 | 21716.10
2013 | 886539.01 | 126043.29 | 180615.01 | 16648.66
2016 | 1146827.69 | 170274.34 | 210906.43 | 21152.31
2019 | 1136634.38 | 164989.19 | 219205.72 | 27936.85
2022 | 1361791.13 | 211596.46 | 284310.00 | 44100.00
