year,mean_net_white,mean_net_black,mean_gross_white,mean_gross_black
1989,533323.5292898348,95673.16335572,599882.8303009765,121385.55965128008
1992,462077.90421779774,99800.7092979234,534975.6577583326,129761.60380715005
1995,488522.4545950755,85164.27333503033,565312.8289752182,120664.86963592726
1998,617773.7002597591,116840.14654613483,712273.408698532,160856.83007674347
2001,818565.2407440688,119956.72867443648,919955.5477122843,172399.6263639606
2004,884538.4140773368,176496.181748747,1021725.915272292,244826.8375697848
2007,991096.1405668535,192396.47442136612,1137318.165114798,288901.4190771001
2010,886270.0337470388,135591.85103989785,1036677.4255225696,207338.40189322594
2013,886539.0130653525,126043.29484070356,1018491.6622482364,191303.59762313255
2016,1146827.685547014,170274.3399028957,1280005.364114613,238867.75186233135
2019,1136634.3786749493,164989.19125552347,1273731.0105879977,237358.06326550987
2022,1361791.1277726076,211596.45965847897,1497557.4916279675,294459.3407295097
