Shift constant and non-positive wealth mass (race-restricted SCF panel).
shift_constant matches shifted_full_sample treatment; share_nonpos uses raw w <= 0.

year | net shift | net share_nonpos | gross shift | gross share_nonpos
1989 | 48999465.5700 | 0.1009 | 11948717.4200 | 0.0474
1992 | 674012.7424 | 0.0905 | 7252.8939 | 0.0309
1995 | 27961460.3900 | 0.0902 | 27792091.1900 | 0.0309
1998 | 27645745.6700 | 0.0925 | 27281079.0000 | 0.0231
2001 | 5401029.6150 | 0.0810 | 26618.5975 | 0.0226
2004 | 388231.5494 | 0.0839 | 1.0000 | 0.0171
2007 | 341867.0562 | 0.0899 | 1.0000 | 0.0203
2010 | 9468222.7230 | 0.1223 | 8088772.0360 | 0.0208
2013 | 288957285.5000 | 0.1197 | 2712280.9300 | 0.0174
2016 | 2577709.2070 | 0.1091 | 1.0000 | 0.0040
2019 | 729720.7351 | 0.1034 | 1.0000 | 0.0038
2022 | 463501.0000 | 0.0745 | 1.0000 | 0.0019
