year,epsilon,wealth_measure,treatment,n_obs,total_weight,shift_constant,pi_white,pi_black,median_white_raw,median_black_raw,gap_diff_raw,gap_ratio_raw,mu_raw,mu,eu_white,eu_black,W_O,W_A_pi,W_A_delta,wede_O,wede_A,wede_A_pi,I_O,I_A_singleton,I_A
1989,1.5,net_wealth,positive_only,13391,73220354.8282815,0.0,0.8882251937929542,0.1117748062070411,189472.96101,53282.065332,136190.895678,3.5560363478666965,523295.06191070215,523295.06191070215,-0.011075310119522784,-0.024256073407040488,-0.012548587381645906,-0.012548587381645906,-0.024256073407040488,25402.140447986556,6798.592248699551,25402.140447986556,0.9514573281940862,0.9514573281940862,0.987008109299033
1989,1.5,net_wealth,shifted_full_sample,14328,81436973.20308797,48999465.57,0.8545397317972053,0.1454602682027945,166417.11275,9914.0147524,156503.0979976,16.78604651155209,469662.78968200687,49469128.359682046,-0.0002847963346826307,-0.0002854448432039761,-0.00028489066690607734,-0.00028489066690607734,-0.0002854448432039761,49283727.49828363,49092549.67874273,49283727.49828363,0.0037478093418261693,0.0037478093418261693,0.007612397740289101
1989,1.5,gross_assets,positive_only,13926,77579563.93123809,0.0,0.8828121469345463,0.11718785306545051,229244.29926,61858.840885,167385.458375,3.7059262019826966,556707.3300813051,556707.3300813051,-0.010250911390245265,-0.023159994092259564,-0.011763699077138635,-0.011763699077138635,-0.023159994092259564,28904.94706905253,7457.3255521234205,28904.94706905253,0.9480787381318815,0.9480787381318815,0.9866045853015186
1989,1.5,gross_assets,shifted_full_sample,14328,81436973.20308797,11948717.42,0.8545397317972053,0.1454602682027945,224794.52055,16369.652266,208424.868284,13.732394365939061,530280.4889779671,12478997.908977939,-0.0005674756140065297,-0.000575865526294971,-0.0005686960128982041,-0.0005686960128982041,-0.000575865526294971,12368004.210972931,12061958.503934536,12368004.210972931,0.008894439987457203,0.008894439987457203,0.03341930242198099
1992,1.5,net_wealth,positive_only,16348,76733004.20507321,0.0,0.8764902611915832,0.12350973880841397,165757.57576,47448.106061,118309.46969900001,3.493449781681477,451960.3887813474,451960.3887813474,-0.010491947583647326,-0.031338339307245236,-0.013066679980526756,-0.013066679980526756,-0.031338339307245236,23427.690700506246,4072.940206780501,23427.690700506246,0.9481642832380157,0.9481642832380157,0.9909882805929904
1992,1.5,net_wealth,shifted_full_sample,17528,84365416.11453839,674012.7424,0.8559801056069983,0.14401989439299873,144416.28788,20512.5,123903.78787999999,7.040404040463132,409902.7808644449,1083915.5232644363,-0.002373460818471986,-0.0023158155977342316,-0.002365158759869066,-0.002365158759869066,-0.002373460818471986,715054.914258067,710061.324030258,715054.914258067,0.34030383465260194,0.34030383465260194,0.34491082672959505
1992,1.5,gross_assets,positive_only,17148,81757701.74594289,0.0,0.8731151638717991,0.1268848361281964,217660.41667,62987.878788,154672.537882,3.455592105309428,491818.88052728586,491818.88052728586,-0.009218332953833931,-0.029859182671799583,-0.01183734378784469,-0.01183734378784469,-0.029859182671799583,28546.408062431423,4486.463717336608,28546.408062431423,0.9419574782655225,0.9419574782655225,0.9908778131646214
1992,1.5,gross_assets,shifted_full_sample,17528,84365416.11453839,7252.893939,0.8559801056069983,0.14401989439299873,214863.25758,36466.666667,178396.590913,5.892045454607934,476616.7725017232,483869.6664407257,-0.0063903122677067175,-0.012149139920691268,-0.007219698018117014,-0.007219698018117014,-0.012149139920691268,76740.02323030084,27099.977086836057,76740.02323030084,0.8414035254683576,0.8414035254683576,0.9439932300650721
1995,1.5,net_wealth,positive_only,18382,81419989.3087794,0.0,0.8789622584216533,0.12103774157834096,169291.7824,49546.926139,119744.856261,3.41679687504862,475462.8001724865,475462.8001724865,-0.009388427102228841,-0.026401670469881608,-0.011447671656372166,-0.011447671656372166,-0.026401670469881608,30522.89076601122,5738.484052236565,30522.89076601122,0.9358038299632732,0.9358038299632732,0.987930740217416
1995,1.5,net_wealth,shifted_full_sample,19708,89489095.75454304,27961460.39,0.8584384760975684,0.1415615239024245,148640.77842,21134.860681,127505.917739,7.032967033164613,431422.45577739173,28392882.84577729,-0.0003759806192594797,-0.00037766639567269423,-0.0003762192603374904,-0.0003762192603374904,-0.00037766639567269423,28260376.328951057,28044216.05506764,28260376.328951057,0.004666891965355413,0.004666891965355413,0.012280077109588339
1995,1.5,gross_assets,positive_only,19288,86727698.3146521,0.0,0.8734487387859842,0.12655126121400675,230509.33215,58120.866873,172388.465277,3.966033965971057,518416.6433782548,518416.6433782548,-0.009693483482675215,-0.024959192070030292,-0.011625378157730406,-0.011625378157730406,-0.024959192070030292,29596.87196296236,6420.944929333935,29596.87196296236,0.9429091015093676,0.9429091015093676,0.9876143156062815
1995,1.5,gross_assets,shifted_full_sample,19708,89489095.75454304,27792091.19,0.8584384760975684,0.1415615239024245,225864.30783,37024.714728,188839.593102,6.100365917449993,502367.78625104146,28294458.976250973,-0.00037662434144998866,-0.0003785741769551366,-0.0003769003631354538,-0.0003769003631354538,-0.0003785741769551366,28158329.04334144,27909883.112487797,28158329.04334144,0.004811186989784666,0.004811186989784666,0.013591914377510173
1998,1.5,net_wealth,positive_only,17903,82309385.7264443,0.0,0.8834180038112839,0.11658199618871347,200931.33333,52329.666667,148601.666663,3.8397212542672436,610435.1815747888,610435.1815747888,-0.009676964451516262,-0.021526646190392632,-0.011058424002835389,-0.011058424002835389,-0.021526646190392632,32709.47066214275,8631.916798565611,32709.47066214275,0.9464161443353256,0.9464161443353256,0.9858594047998722
1998,1.5,net_wealth,shifted_full_sample,19358,90698866.23155351,27645745.67,0.8689320297579661,0.13106797024203282,175003.53333,28261.666667,146741.866663,6.192258064325149,552117.3561483872,28197863.02614872,-0.0003769427990607433,-0.0003796079308558074,-0.0003772921124755495,-0.0003772921124755495,-0.0003796079308558074,28099884.77902886,27758080.880949512,28099884.77902886,0.003474669233941796,0.003474669233941796,0.015596293406751616
1998,1.5,gross_assets,positive_only,18971,88602289.38903336,0.0,0.8797247947975179,0.12027520520248074,266170.2,63871.366667,202298.83333300002,4.1672851841061425,655145.8902637576,655145.8902637576,-0.009013481788722334,-0.02291711161503329,-0.010685743719141202,-0.010685743719141202,-0.02291711161503329,35030.834498796714,7616.233170267901,35030.834498796714,0.946529719533624,0.946529719533624,0.9883747524277353
1998,1.5,gross_assets,shifted_full_sample,19358,90698866.23155351,27281079.0,0.8689320297579661,0.13106797024203282,261010.16667,45583.333333,215426.833337,5.726000000114998,640000.3569807669,27921079.356980987,-0.0003788007587069233,-0.00038182754271755585,-0.00037919747314355754,-0.00037919747314355754,-0.00038182754271755585,27818206.20123883,27436296.415193886,27818206.20123883,0.003684426179478506,0.003684426179478506,0.01736261466073641
2001,1.5,net_wealth,positive_only,18668,86109882.1281368,0.0,0.8743434788388412,0.1256565211611583,240479.11247,64518.377965,175960.734505,3.7272963154847965,783138.5139874317,783138.5139874317,-0.008580907980645954,-0.024382159854776642,-0.010566438321140445,-0.010566438321140445,-0.024382159854776642,35826.365044412385,6728.459502194956,35826.365044412385,0.9542528372637444,0.9542528372637444,0.9914083404378412
2001,1.5,net_wealth,shifted_full_sample,19981,93694943.22893415,5401029.615,0.8568759947049432,0.14312400529505628,205742.31064,32309.410865,173432.899775,6.3678756477381535,718577.5923634416,6119607.207363449,-0.0008214639522597038,-0.0008519336245599211,-0.0008258248937993383,-0.0008258248937993383,-0.0008519336245599211,5865216.544736775,5511229.1934022745,5865216.544736775,0.041569769759173036,0.041569769759173036,0.0994145528211583
2001,1.5,gross_assets,positive_only,19594,91577203.51793648,0.0,0.8679446410583961,0.13205535894160447,312045.29457,97547.635807,214497.65876300004,3.198901664694243,831762.347435606,831762.347435606,-0.00801004020660169,-0.024084716279971333,-0.010132787325340543,-0.010132787325340543,-0.024084716279971333,38958.491867268705,6895.677182415024,38958.491867268705,0.9531615106317555,0.9531615106317555,0.9917095583808584
2001,1.5,gross_assets,shifted_full_sample,19981,93694943.22893415,26618.59755,0.8568759947049432,0.14312400529505628,307140.29074,73156.541699,233983.74904100003,4.198398169280854,812962.3500668752,839580.9476168682,-0.004440969847287406,-0.0071869447433336375,-0.004833984772849216,-0.004833984772849216,-0.0071869447433336375,171178.58625023154,77441.07619564417,171178.58625023154,0.7961142558842979,0.7961142558842979,0.9077622277929734
2004,1.5,net_wealth,positive_only,18281,87572900.00819027,0.0,0.8628605992755597,0.13713940072444042,247035.8061,59867.136804,187168.66929599998,4.1264008818189275,849073.8605490435,849073.8605490435,-0.008860159934724927,-0.028167089536817614,-0.011507900690184878,-0.011507900690184878,-0.028167089536817614,30204.230823548955,5041.688887385937,30204.230823548955,0.964426851152834,0.964426851152834,0.9940621315510457
2004,1.5,net_wealth,shifted_full_sample,19664,95596947.91977182,388231.5494,0.8468757490550416,0.1531242509449543,221502.59246,32054.003591,189448.58886900003,6.9102941175870045,776119.9776146249,1164351.5270146257,-0.0024269448989615206,-0.004517587647315349,-0.0027470730037966913,-0.0027470730037966913,-0.004517587647315349,530053.3569280425,195995.8234451034,530053.3569280425,0.5447651807636746,0.5447651807636746,0.8316695440356978
2004,1.5,gross_assets,positive_only,19366,93958279.28727584,0.0,0.8556447171396455,0.14435528286035007,353693.93178,86498.671454,267195.260326,4.089009990958005,918508.3752790388,918508.3752790388,-0.00842825993820424,-0.03522473694123959,-0.012296472955638238,-0.012296472955638238,-0.03522473694123959,26454.458323008734,3223.773153982407,26454.458323008734,0.9711984571561778,0.9711984571561778,0.996490208210673
2004,1.5,gross_assets,shifted_full_sample,19664,95596947.91977182,1.0,0.8468757490550416,0.1531242509449543,347770.22621,68507.576302,279262.649908,5.076376146733529,902763.8259392652,902764.8259392694,-0.02202565420250752,-0.17656728834377314,-0.045689726170197904,-0.045689726170197904,-0.17656728834377314,1916.120780515517,128.30379335722918,1916.120780515517,0.9978774973000062,0.9978774973000062,0.9998578768360589
2007,1.5,net_wealth,positive_only,17651,87082333.25690182,0.0,0.8756003567406774,0.12439964325932552,287346.36233,70433.852191,216912.51013899996,4.0796627387464826,966103.2822835282,966103.2822835282,-0.008890970272654827,-0.029541225408174058,-0.011459854644727499,-0.011459854644727499,-0.029541225408174058,30458.027402238036,4583.560608812736,30458.027402238036,0.9684733216822885,0.9684733216822885,0.9952556204984846
2007,1.5,net_wealth,shifted_full_sample,18916,95686644.00243275,341867.0562,0.8576789472023922,0.14232105279761156,245445.23218,30051.013734,215394.21844599998,8.167619047816046,877424.3632119307,1219291.419411924,-0.002680114747664048,-0.0030152574660157034,-0.002727812612177319,-0.002727812612177319,-0.0030152574660157034,537564.9263734748,439957.96883543575,537564.9263734748,0.5591169446326888,0.5591169446326888,0.6391691421500927
2007,1.5,gross_assets,positive_only,18630,93741121.40964237,0.0,0.865938034002806,0.13406196599719827,389233.60889,101529.4964,287704.11248999997,3.8336997886458537,1037668.7167908385,1037668.7167908385,-0.009463891397283049,-0.037730321962016596,-0.013253344650514563,-0.013253344650514563,-0.037730321962016596,22772.410695568087,2809.8230380795612,22772.410695568087,0.9780542572720169,0.9780542572720169,0.9972921771731065
2007,1.5,gross_assets,shifted_full_sample,18916,95686644.00243275,1.0,0.8576789472023922,0.14232105279761156,384223.6756,74054.283846,310169.391754,5.188405797009859,1016570.6006075909,1016571.6006075912,-0.03082589830192032,-0.18498671541503467,-0.052766228093598926,-0.052766228093598926,-0.18498671541503467,1436.6397888909758,116.89041725120849,1436.6397888909758,0.9985867795362054,0.9985867795362054,0.9998850150671321
2010,1.5,net_wealth,positive_only,23611,83034248.02991983,0.0,0.8566793402947687,0.1433206597052373,226311.86017,56816.978777,169494.88139300002,3.9831730768059246,876829.096440471,876829.096440471,-0.010554049343595332,-0.03023865337211731,-0.013375259778999535,-0.013375259778999535,-0.03023865337211731,22359.162883439498,4374.567256656315,22359.162883439498,0.9744999761365042,0.9744999761365042,0.9950109237086051
2010,1.5,net_wealth,shifted_full_sample,26495,94600887.61472769,9468222.723,0.8383648678856439,0.1616351321143663,177211.61049,21716.104869,155495.505621,8.160377358601345,764934.0665098063,10233156.78950988,-0.0006306490072851257,-0.0006458612325222951,-0.0006331078373210955,-0.0006331078373210955,-0.0006458612325222951,9979404.164454773,9589181.906700062,9979404.164454773,0.024797101253762777,0.024797101253762777,0.06293022730482967
2010,1.5,gross_assets,positive_only,25961,92629394.7838037,0.0,0.8480953601647633,0.15190463983524488,324648.93883,84815.730337,239833.208493,3.8276972625250765,921849.2605851687,921849.2605851687,-0.01068899633845312,-0.03539928847962521,-0.014442604366381636,-0.014442604366381636,-0.03539928847962521,19176.483107058793,3192.059114887889,19176.483107058793,0.9791978103937665,0.9791978103937665,0.9965373307205762
2010,1.5,gross_assets,shifted_full_sample,26495,94600887.61472769,8088772.036,0.8383648678856439,0.1616351321143663,319458.92634,56953.558052,262505.368288,5.609112709838534,902627.1028706521,8991399.138870696,-0.0006743342875811538,-0.0006951734569301991,-0.0006777026294720474,-0.0006777026294720474,-0.0006951734569301991,8709267.902680993,8277012.826848941,8709267.902680993,0.031377901462523394,0.031377901462523394,0.07945218547060073
2013,1.5,net_wealth,positive_only,22156,86847276.77840522,0.0,0.8611427239432112,0.13885727605678724,229619.08086,44549.156486,185069.924374,5.154285714302133,869490.2396758635,869490.2396758635,-0.012936053502556171,-0.02394156539326019,-0.014464248905309894,-0.014464248905309894,-0.02394156539326019,19119.13404151766,6978.3846726704705,19119.13404151766,0.9780110998731336,0.9780110998731336,0.9919741656038923
2013,1.5,net_wealth,shifted_full_sample,24728,98659911.20845796,288957285.5,0.8344409414835229,0.16555905851648106,180615.00873,16648.656195,163966.352535,10.84862385375242,760632.0579502682,289717917.55795103,-0.00011832237367438051,-0.0001176305061845577,-0.00011820782874414774,-0.00011820782874414774,-0.00011832237367438051,286264511.12406665,285710528.3771727,286264511.12406665,0.011919892504382634,0.011919892504382634,0.013832037778529038
2013,1.5,gross_assets,positive_only,24323,96939983.36360045,0.0,0.8433248430807533,0.15667515691925135,301661.43106,67727.44619,233933.98487,4.45404999051242,897188.1085452731,897188.1085452731,-0.012588480671523104,-0.031801987974001696,-0.015598759943108179,-0.015598759943108179,-0.031801987974001696,16439.168320367873,3955.0452193818905,16439.168320367873,0.981677010468827,0.981677010468827,0.9955917324564246
2013,1.5,gross_assets,shifted_full_sample,24728,98659911.20845796,2712280.93,0.8344409414835229,0.16555905851648106,297932.03025,48113.089005,249818.941245,6.192328042355342,881543.1850528405,3593824.1150528453,-0.0011052786350857404,-0.0011817274144145578,-0.0011179354230161581,-0.0011179354230161581,-0.0011817274144145578,3200564.297804609,2864345.290245613,3200564.297804609,0.1094265619736523,0.1094265619736523,0.2029812259736884
2016,1.5,net_wealth,positive_only,22930,89040444.67385675,0.0,0.8329210023301998,0.1670789976697998,255924.46449,49026.493799,206897.970691,5.220125786258452,1090200.0165937934,1090200.0165937934,-0.011331473752913022,-0.040410967767728956,-0.016190046465653408,-0.016190046465653408,-0.040410967767728956,15260.325634038556,2449.410014274883,15260.325634038556,0.9860022698571242,0.9860022698571242,0.9977532471317256
2016,1.5,net_wealth,shifted_full_sample,25302,99939017.99623601,2577709.207,0.8159549149488965,0.1840450850511032,210906.42616,21152.311161,189754.114999,9.970845481361062,967097.8419910062,3544807.0489910045,-0.0011529226788592334,-0.0012201998201298518,-0.0011653047060463792,-0.0011653047060463792,-0.0012201998201298518,2945648.9665169907,2686569.4879806526,2945648.9665169907,0.16902417372605893,0.16902417372605893,0.2421112204836765
2016,1.5,gross_assets,positive_only,25212,99538604.3283968,0.0,0.8168861306141794,0.1831138693858213,326573.18377,57425.749718,269147.434052,5.686877147859616,1092767.3635496523,1092767.3635496523,-0.012939927594703513,-0.037097422565956925,-0.017363499973558252,-0.017363499973558252,-0.037097422565956925,13267.388603873875,2906.514656859822,13267.388603873875,0.9878589084498486,0.9878589084498486,0.9973402256017068
2016,1.5,gross_assets,shifted_full_sample,25302,99939017.99623601,1.0,0.8159549149488965,0.1840450850511032,325363.2469,56599.391206,268763.855694,5.748529091343103,1088389.1037177376,1088390.103717734,-0.017651608113096122,-0.0512763478026307,-0.023840076189077714,-0.023840076189077714,-0.0512763478026307,7037.92627816237,1521.3383811457377,7037.92627816237,0.993533636281585,0.993533636281585,0.9986022122252406
2019,1.5,net_wealth,positive_only,21341,91223991.56546035,0.0,0.8393239411840735,0.16067605881592145,259117.16026,57960.264901,201156.89535900002,4.470599999889396,1078150.2387616679,1078150.2387616679,-0.009252558454965728,-0.03679083793027153,-0.013677300667629198,-0.013677300667629198,-0.03679083793027153,21382.53556802371,2955.1575041087694,21382.53556802371,0.9801673878099002,0.9801673878099002,0.9972590485093219
2019,1.5,net_wealth,shifted_full_sample,23297,101741996.43515445,729720.7351,0.8205824830486879,0.17941751695130984,219205.72185,27936.847682,191268.874168,7.84647302892504,962304.2117904633,1692024.946890477,-0.0019855701742706646,-0.00220775596758349,-0.002025434197608704,-0.002025434197608704,-0.00220775596758349,975042.8783340607,820649.7785606892,975042.8783340607,0.4237420198053533,0.4237420198053533,0.5149895513840737
2019,1.5,gross_assets,positive_only,23219,101350724.36508694,0.0,0.821809741372461,0.1781902586275372,355134.1351,61437.880795,293696.254305,5.780377358473308,1091987.0351353101,1091987.0351353101,-0.009270079298621815,-0.03494313519713549,-0.01384476776893717,-0.01384476776893717,-0.03494313519713549,20868.37540325114,3275.9423788764316,20868.37540325114,0.9808895392236362,0.9808895392236362,0.9970000171490402
2019,1.5,gross_assets,shifted_full_sample,23297,101741996.43515445,1.0,0.8205824830486879,0.17941751695130984,354021.29801,60162.754967,293858.54304300004,5.884393063518866,1087787.549743881,1087788.5497438875,-0.013862558671120268,-0.05344044989034234,-0.020963525639842107,-0.020963525639842107,-0.05344044989034234,9101.884986736826,1400.6182475046242,9101.884986736826,0.991632670716308,0.991632670716308,0.998712416813144
2022,1.5,net_wealth,positive_only,15654,95180343.02727172,0.0,0.8682558249504482,0.13174417504955346,318890.0,89700.0,229190.0,3.555072463768116,1292110.3626299752,1292110.3626299752,-0.012066041491519536,-0.037979259419867864,-0.015479957010369106,-0.015479957010369106,-0.037979259419867864,16692.46563439388,2773.109428919428,16692.46563439388,0.9870812384784085,0.9870812384784085,0.9978538138001811
2022,1.5,net_wealth,shifted_full_sample,16798,102843684.74878462,463501.0,0.8529947196638465,0.14700528033615504,284310.0,44100.0,240210.0,6.446938775510204,1192706.438145338,1656207.4381453434,-0.0023299048199647335,-0.002646326020101816,-0.0023764204071951914,-0.0023764204071951914,-0.002646326020101816,708293.80773908,571180.4013230276,708293.80773908,0.5723399186443441,0.5723399186443441,0.6551274990271463
2022,1.5,gross_assets,positive_only,16743,102648362.07014577,0.0,0.8541015776556078,0.14589842234439437,417400.0,106400.0,311000.0,3.922932330827068,1323208.7739087439,1323208.7739087439,-0.01407220653530141,-0.04913432495382868,-0.0191877142966169,-0.0191877142966169,-0.04913432495382868,10864.594077241965,1656.8759871718876,10864.594077241965,0.9917892064415896,0.9917892064415896,0.9987478347938418
2022,1.5,gross_assets,shifted_full_sample,16798,102843684.74878462,1.0,0.8529947196638465,0.14700528033615504,417200.0,103430.0,313770.0,4.033645944116794,1320695.7106832324,1320696.7106832312,-0.013415778354234856,-0.061222410324030696,-0.020443605688882108,-0.020443605688882108,-0.061222410324030696,9570.728572207709,1067.1836030378556,9570.728572207709,0.9927532729545026,0.9927532729545026,0.9991919540690869
